word,frequency,frequency_in_percent
block,734,0.011402
letter,733,0.011387
conditions,731,0.011356
consists,731,0.011356
raised,730,0.01134
principal,730,0.01134
finals,730,0.01134
soldiers,729,0.011324
estate,728,0.011309
alongside,728,0.011309
occurred,727,0.011293
federation,726,0.011278
direct,726,0.011278
composed,726,0.011278
whether,725,0.011262
train,725,0.011262
wing,723,0.011231
footballer,722,0.011216
leave,720,0.011185
housing,720,0.011185
nearly,719,0.011169
impact,718,0.011154
leaving,718,0.011154
jack,713,0.011076
deputy,713,0.011076
physical,712,0.01106
sciences,712,0.01106
description,711,0.011045
administrative,711,0.011045
concept,711,0.011045
draw,710,0.011029
mainly,709,0.011014
agent,708,0.010998
might,708,0.010998
officially,707,0.010983
positive,707,0.010983
latter,706,0.010967
appears,706,0.010967
wood,705,0.010952
friend,705,0.010952
territory,705,0.010952
turned,704,0.010936
failed,703,0.010921
elements,703,0.010921
turn,703,0.010921
separate,703,0.010921
volume,702,0.010905
officers,701,0.01089
broadcast,701,0.01089
distance,699,0.010858
done,699,0.010858
attempt,699,0.010858
politics,699,0.010858
golden,698,0.010843
computer,697,0.010827
shown,697,0.010827
discovered,697,0.010827
allow,696,0.010812
numbers,696,0.010812
temple,695,0.010796
reception,695,0.010796
scientific,694,0.010781
appearances,694,0.010781
daily,693,0.010765
activity,692,0.01075
carried,692,0.01075
speed,692,0.01075
stations,690,0.010719
call,689,0.010703
girl,689,0.010703
offered,689,0.010703
battalion,688,0.010688
internet,688,0.010688
leaders,687,0.010672
respectively,687,0.010672
directly,685,0.010641
extended,685,0.010641
economy,683,0.01061
branch,683,0.01061
your,683,0.01061
sexual,682,0.010594
frank,682,0.010594
takes,682,0.010594
honor,682,0.010594
wanted,681,0.010579
table,681,0.010579
makes,679,0.010548
destroyed,679,0.010548
issued,678,0.010532
lack,677,0.010517
hot,677,0.010517
founder,677,0.010517
agreement,676,0.010501
contemporary,676,0.010501
levels,676,0.010501
ships,676,0.010501
remaining,675,0.010486
growth,675,0.010486
hold,674,0.01047
prison,674,0.01047
typically,674,0.01047
commonly,673,0.010455
provides,673,0.010455
spring,672,0.010439
residents,672,0.010439
projects,672,0.010439
technical,671,0.010423
squadron,671,0.010423
rider,670,0.010408
polish,670,0.010408
turkey,670,0.010408
houses,669,0.010392
guard,669,0.010392
yet,668,0.010377
heritage,668,0.010377
renamed,668,0.010377
bass,667,0.010361
competed,667,0.010361
nearby,666,0.010346
box,666,0.010346
lives,665,0.01033
settlement,665,0.01033
protection,664,0.010315
problems,663,0.010299
twice,663,0.010299
mixed,661,0.010268
titled,660,0.010253
arrived,658,0.010222
ball,657,0.010206
image,657,0.010206
brothers,657,0.010206
fish,656,0.01019
premier,656,0.01019
adopted,656,0.01019
inside,656,0.01019
basis,656,0.01019
profile,655,0.010175
revealed,655,0.010175
municipal,654,0.010159
note,654,0.010159
know,653,0.010144
husband,652,0.010128
interview,652,0.010128
representatives,651,0.010113
reference,650,0.010097
estimated,650,0.010097
compared,649,0.010082
acting,649,0.010082
sex,649,0.010082
intended,649,0.010082
agency,649,0.010082
reserve,646,0.010035
wall,645,0.01002
risk,645,0.01002
urban,645,0.01002
memorial,645,0.01002
idea,644,0.010004
enough,644,0.010004
tom,644,0.010004
plot,643,0.009989
religion,641,0.009957
efforts,641,0.009957
visual,641,0.009957
freedom,641,0.009957
solo,640,0.009942
candidate,639,0.009926
pressure,639,0.009926
ability,639,0.009926
asked,638,0.009911
saying,638,0.009911
editor,638,0.009911
treatment,638,0.009911
quality,638,0.009911
entry,637,0.009895
pass,636,0.00988
types,636,0.00988
lady,635,0.009864
conducted,635,0.009864
garden,634,0.009849
officials,634,0.009849
defined,634,0.009849
presidential,634,0.009849
township,634,0.009849
clubs,633,0.009833
marriage,633,0.009833
transferred,633,0.009833
sales,632,0.009818
acquired,632,0.009818
newspaper,632,0.009818
widely,631,0.009802
gun,630,0.009787
cut,630,0.009787
featuring,630,0.009787
formation,630,0.009787
climate,628,0.009756
resources,628,0.009756
confirmed,628,0.009756
appear,628,0.009756
function,628,0.009756
joint,627,0.00974
trial,626,0.009724
pop,626,0.009724
primarily,626,0.009724
languages,626,0.009724
creek,625,0.009709
titles,624,0.009693
true,624,0.009693
stop,624,0.009693
corporation,624,0.009693
prominent,624,0.009693
launch,622,0.009662
environment,622,0.009662
approach,622,0.009662
lieutenant,622,0.009662
smaller,622,0.009662
ranked,622,0.009662
blood,621,0.009647
participated,621,0.009647
graduated,620,0.009631
told,620,0.009631
register,620,0.009631
fighting,620,0.009631
agreed,619,0.009616
color,619,0.009616
value,617,0.009585
boy,616,0.009569
piano,615,0.009554
campus,614,0.009538
covered,614,0.009538
die,614,0.009538
initial,614,0.009538
revolution,613,0.009522
ordered,613,0.009522
focus,612,0.009507
poor,612,0.009507
forward,612,0.009507
comes,612,0.009507
architecture,610,0.009476
creation,609,0.00946
communities,608,0.009445
formerly,608,0.009445
code,608,0.009445
products,608,0.009445
removed,608,0.009445
guide,608,0.009445
entertainment,607,0.009429
paper,607,0.009429
plans,606,0.009414
constructed,605,0.009398
sun,603,0.009367
semi,603,0.009367
mile,602,0.009352
coming,602,0.009352
hotel,602,0.009352
parish,602,0.009352
